article_link,date_of_publishing_t,company_covered,stocks_covered,stock_ticker,comment,t_minus_oneday,stockprice_at_t_minus_oneday,stockprice_now,delta_current,t_plus_onemonth,stock_price_at_t_plus_onemonth,delta_onemonth
https://hindenburgresearch.com/adani/,"January 24, 2023",Adani Group,Adani Enterprises,NSE:ADANIENT,,"January 23, 2023","3,442.00","3,405.00",-0.01,"February 23, 2023",,
,"January 24, 2023",,Adani Transmission,NSE:ADANITRANS,,"January 23, 2023",2762.15,"2,539.00",-0.08,"February 23, 2023",,
,"January 24, 2023",,Adani Total Gas,NSE:ATGL,,"January 23, 2023",3891.75,"3,740.00",-0.04,"February 23, 2023",,
,"January 24, 2023",,Adani Green Energy,NSE:ADANIGREEN,,"January 23, 2023",1916.8,"1,872.00",-0.02,"February 23, 2023",,
,"January 24, 2023",,Adani Power,NSE:ADANIPOWER,,"January 23, 2023",274.65,261.05,-0.05,"February 23, 2023",,
,"January 24, 2023",,Adani Ports & SEZ,NSE:ADANIPORTS,,"January 23, 2023",761.2,714.55,-0.06,"February 23, 2023",,
,"January 24, 2023",,Adani Wilmar,NSE:AWL,,"January 23, 2023",572.65,544.05,-0.05,"February 23, 2023",,
https://hindenburgresearch.com/welltower/,"December 7, 2022",Welltower Inc,Welltower Inc,NYSE:WELL,,"December 6, 2022",68.2,73.86,0.08,"January 6, 2023",69.78,0.02
https://hindenburgresearch.com/establishment-labs/,"October 19, 2022",Establishment Labs Holdings Inc.,Establishment Labs Holdings Inc.,NASDAQ:ESTA,,"October 18, 2022",56.35,68.44,0.21,"November 18, 2022",61.05,0.08
https://hindenburgresearch.com/ebix/,"June 16, 2022","Ebix, Inc.","Ebix, Inc.",NASDAQ:EBIX,,"June 15, 2022",23.4,19.10,-0.18,"July 16, 2022",19.17,-0.18
https://hindenburgresearch.com/enochian/,"June 1, 2022","Enochian Biosciences, Inc.","Enochian Biosciences, Inc.",NASDAQ:ENOB,,"May 31, 2022",5.26,1.13,-0.79,"July 1, 2022",1.93,-0.63
https://hindenburgresearch.com/twitter/,"May 9, 2022","Twitter, Inc.","Twitter, Inc.",NASDAQ:TWTR,Intermediary Reporting? Unsure if the short position is previous or basis this report. Stock now taken private by Elon Musk. Using Last known Price,"May 8, 2022",49.8,53.70,0.08,"June 8, 2022",40.44,-0.19
https://hindenburgresearch.com/singularity/,"May 5, 2022","Singularity Future Technology, Ltd.","Singularity Future Technology, Ltd.",NASDAQ:SGLY,,"May 4, 2022",6.75,0.67,-0.90,"June 4, 2022",3.69,-0.45
https://hindenburgresearch.com/mullen/,"April 6, 2022","Mullen Automotive, Inc.","Mullen Automotive, Inc.",NASDAQ:MULN,,"April 5, 2022",2.72,0.35,-0.87,"May 6, 2022",1.2,-0.56
https://hindenburgresearch.com/natera/,"March 9, 2022","Natera, Inc.","Natera, Inc.",NASDAQ:NTRA,,"March 8, 2022",54.75,42.00,-0.23,"April 8, 2022",42.86,-0.22
https://hindenburgresearch.com/standard-lithium/,"February 3, 2022","Standard Lithium, Ltd.","Standard Lithium, Ltd.",NYSE:SLI,,"February 2, 2022",9.81,4.04,-0.59,"March 5, 2022",5.53,-0.44
https://hindenburgresearch.com/tether/,"October 19, 2021",Tether,Tether,,"Hindenburg Research does not hold positions, either long or short, in Tether, bitcoin or any cryptocurrency at the time of this press release.","October 18, 2021",75.03,81.42,0.09,"November 18, 2021",74.39,-0.01
https://hindenburgresearch.com/draftkings/,"June 15, 2021","DraftKings, Inc.","DraftKings, Inc.",NASDAQ:DKNG,,"June 14, 2021",50.62,14.55,-0.71,"July 15, 2021",44.83,-0.11
https://hindenburgresearch.com/humbl/,"May 20, 2021","HUMBL, Inc.","HUMBL, Inc.",OTCMKTS:HMBL,,"May 19, 2021",0.87,0.01,-0.99,"June 19, 2021",1.24,0.43
https://hindenburgresearch.com/purecycle/,"May 6, 2021",PureCycle Technologies,PureCycle Technologies,NASDAQ:PCT,,"May 5, 2021",24.59,8.38,-0.66,"June 5, 2021",20.93,-0.15
https://hindenburgresearch.com/ebang/,"April 6, 2021",Ebang International Holdings Inc.,Ebang International Holdings Inc.,NASDAQ:EBON,,"April 5, 2021",190.5,8.58,-0.95,"May 6, 2021",99.3,-0.48
https://hindenburgresearch.com/lordstown/,"March 12, 2021",Lordstown Motors,Lordstown Motors,NASDAQ:RIDE,,"March 11, 2021",17.71,1.22,-0.93,"April 11, 2021",10.73,-0.39
https://hindenburgresearch.com/ormat/,"March 1, 2021","Ormat Technologies, Inc.","Ormat Technologies, Inc.",NYSE:ORA,,"February 28, 2021",84.67,91.97,0.09,"March 31, 2021",78.53,-0.07
https://hindenburgresearch.com/clover/,"February 4, 2021",Clover Health,Clover Health,NASDAQ:CLOV,No position (short or long) in Clover Health,"February 3, 2021",13.95,1.20,-0.91,"March 6, 2021",7.35,-0.47
https://hindenburgresearch.com/kandi/,"November 30, 2020",Kandi Technologies,Kandi Technologies,NASDAQ:KNDI,,"November 29, 2020",9.76,2.75,-0.72,"December 30, 2020",7.37,-0.24
https://hindenburgresearch.com/loop/,"October 13, 2020",Loop Industries,Loop Industries,NASDAQ:LOOP,,"October 12, 2020",11.61,2.48,-0.79,"November 12, 2020",6.77,-0.42
https://hindenburgresearch.com/nikola/,"September 10, 2020",Nikola Corp,Nikola Corp,NASDAQ:NKLA,,"September 9, 2020",42.37,2.67,-0.94,"October 10, 2020",24.15,-0.43
https://hindenburgresearch.com/growgeneration/,"August 21, 2020",GrowGeneration Corp,GrowGeneration Corp,NASDAQ:GRWG,,"August 20, 2020",18.24,4.47,-0.75,"September 20, 2020",16.65,-0.09
